Year,Archeologische onderzoeksmeldingen
1854,1
1878,1
1895,1
1900,1
1901,1
1905,1
1907,1
1908,3
1917,1
1922,2
1923,2
1924,1
1926,4
1927,1
1929,6
1931,1
1932,2
1933,4
1934,3
1935,3
1938,8
1939,1
1940,1
1941,1
1943,4
1945,2
1946,1
1947,2
1949,2
1951,2
1952,3
1953,3
1954,1
1956,1
1957,3
1958,4
1959,5
1960,9
1961,4
1962,2
1963,2
1964,3
1965,5
1966,4
1967,3
1968,10
1969,9
1970,3
1971,10
1972,33
1973,19
1974,24
1975,20
1976,19
1977,17
1978,17
1979,21
1980,22
1981,29
1982,44
1983,92
1984,124
1985,114
1986,108
1987,120
1988,161
1989,179
1990,160
1991,177
1992,497
1993,298
1994,319
1995,478
1996,376
1997,426
1998,495
1999,611
2000,685
2001,838
2002,946
2003,1535
2004,2238
2005,2747
2006,3612
2007,4148
2008,4832
2009,4687
2010,4665
2011,4359
2012,4277
2013,3951
2014,4139
2015,4153
2016,4141
2017,4442
2018,4678
2019,4642
2020,5185
2021,5790
