Nederlands,English category
Beschoeiing,Water works
Beschoeiing (weg),Water works
Brug,Bridge
Castellum,Fort
Castra,Fortress
Fossiel hout,Sub-fossil wood
Fossiel hout; fluviatiel,Sub-fossil wood; fluvial
Fossiel hout; veen,Sub-fossil wood; bog
Kanaal,Canal
Molen,Mill
Natuurlijke laagte,Natural
Militair,Military
Nederzetting,Settlement
Nederzetting / Militaire vicus,Settlement; military vicus
Nederzetting; vicus,Settlement; civilian vicus
Nederzetting; villa,Settlement; villa
Onbekend,Unknown
Schip,Ship
Schip; boomstamkano,Ship; canoe
Schip; kano,Ship; canoe
Schip; platbodem,Ship; barge
Stad,Town
Stad; Haven,Harbour
Tempel,Temple
Vicus,Settlement; civilian vicus
Vicus; militair,Settlement; military vicus
Wachttoren,Watchtower
Weg,Road
Weg; civiel,Road
Weg; knuppelpad,Road
Weg; Limesweg,Military Road
